"date","geography","geography code","Residence type: Total; measures: Value","Residence type: Lives in a household; measures: Value","Residence type: Lives in a communal establishment; measures: Value"
"2021","E00060274","E00060274",273,273,0
"2021","E00060275","E00060275",416,416,0
"2021","E00060276","E00060276",259,259,0
"2021","E00060277","E00060277",278,278,0
"2021","E00060279","E00060279",276,276,0
"2021","E00060280","E00060280",515,515,0
"2021","E00060290","E00060290",265,265,0
"2021","E00060364","E00060364",285,285,0
"2021","E00060367","E00060367",287,287,0
"2021","E00060368","E00060368",275,275,0
"2021","E00060369","E00060369",275,275,0
"2021","E00060371","E00060371",223,223,0
"2021","E00060362","E00060362",317,317,0
"2021","E00060363","E00060363",267,267,0
"2021","E00060365","E00060365",210,210,0
"2021","E00060366","E00060366",276,276,0
"2021","E00060370","E00060370",329,329,0
"2021","E00060372","E00060372",326,326,0
"2021","E00060374","E00060374",382,382,0
"2021","E00060376","E00060376",286,286,0
"2021","E00060373","E00060373",276,276,0
"2021","E00174092","E00174092",243,243,0
"2021","E00174093","E00174093",325,325,0
"2021","E00174094","E00174094",349,349,0
"2021","E00174100","E00174100",519,519,0
"2021","E00174102","E00174102",242,242,0
"2021","E00060375","E00060375",303,303,0
"2021","E00060377","E00060377",155,155,0
"2021","E00174098","E00174098",198,198,0
"2021","E00174101","E00174101",330,330,0
"2021","E00188243","E00188243",288,288,0
"2021","E00188304","E00188304",298,298,0
"2021","E00188318","E00188318",348,348,0
"2021","E00188332","E00188332",345,345,0
"2021","E00060283","E00060283",314,314,0
"2021","E00060284","E00060284",362,362,0
"2021","E00060287","E00060287",267,187,80
"2021","E00060288","E00060288",376,376,0
"2021","E00060289","E00060289",285,285,0
"2021","E00060273","E00060273",338,338,0
"2021","E00060278","E00060278",301,301,0
"2021","E00060281","E00060281",324,324,0
"2021","E00060282","E00060282",366,366,0
"2021","E00060285","E00060285",372,332,40
"2021","E00060286","E00060286",265,265,0
"2021","E00060484","E00060484",307,307,0
"2021","E00060486","E00060486",304,304,0
"2021","E00060489","E00060489",222,222,0
"2021","E00060490","E00060490",265,265,0
"2021","E00060491","E00060491",280,270,10
"2021","E00060492","E00060492",245,245,0
"2021","E00060472","E00060472",236,236,0
"2021","E00060474","E00060474",227,227,0
"2021","E00060476","E00060476",401,401,0
"2021","E00060478","E00060478",282,282,0
"2021","E00188301","E00188301",397,397,0
